id,제목,설명,링크,상태,가격,할인가,재고 수량,이미지 링크,gtin,mpn,상표,google 상품 카테고리
1325502,"더블에이 복사용지A4(80g, 500매x5권)",,https://www.officenex.com/item/itemView.do?itemId=N1325502,새 상품,34000 KRW,27000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/N1325502/3.jpg,,,,
1325402,"한국제지 밀크 복사용지A4(75g, 500매x5권)",,https://www.officenex.com/item/itemView.do?itemId=N1325402,새 상품,26000 KRW,21000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/1325402/3.jpg,,,,
1396102,"하이플러스 복사용지A4(75g, 500매x5권)",,https://www.officenex.com/item/itemView.do?itemId=N1396102,새 상품,28000 KRW,22500 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/1396102/3.jpg,,,,
1521902,"한국제지 밀크 복사용지A4(80g, 500매x5권)",,https://www.officenex.com/item/itemView.do?itemId=N1521902,새 상품,28000 KRW,22000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/1521902/3.jpg,,,,
3631800,더블에이 플러스좌철노트 A4(노랑),,https://www.officenex.com/item/itemView.do?itemId=N3631800,새 상품,8600 KRW,6900 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/3631800/3.jpg,,,,
3611300,"마분지(A4, 10매)",,https://www.officenex.com/item/itemView.do?itemId=N3611300,새 상품,1500 KRW,1000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/N3611300/3.jpg,,,,
1526302,"삼성 프리미엄 복사용지A4(75g,500매x5권)",,https://www.officenex.com/item/itemView.do?itemId=N1526302,새 상품,26000 KRW,21000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/1526302/3.jpg,,,,
1310300,"폼텍 라벨A4전면100매 LS-3130(분류표기용, 210x297mm)",,https://www.officenex.com/item/itemView.do?itemId=N1310300,새 상품,23000 KRW,18400 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/1310300/3.jpg,,,,
3629010,더블에이 스프링노트세로스트링(A5 흑색),,https://www.officenex.com/item/itemView.do?itemId=N36290A0,새 상품,5800 KRW,4600 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/3629010/3.jpg,,,,
1328302,"더블에이 복사용지A3(80g, 500매x5권)",,https://www.officenex.com/item/itemView.do?itemId=N1328302,새 상품,62000 KRW,49500 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/1328302/3.jpg,,,,
3634110,피디메모 (40절/다크네이비/105x168mm/8041),,https://www.officenex.com/item/itemView.do?itemId=272002060605,새 상품,4800 KRW,3800 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/N36341I0/3.jpg,,,,
1002400,노트패드(A4/노랑/1팩=3권/Office & Factory),,https://www.officenex.com/item/itemView.do?itemId=27200005811552,새 상품,5000 KRW,4000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/27200005811552/3.jpg,,,,
1330700,"폼텍 광택라벨A4전면100 LB-3130(분류표기용, 210x297mm)",,https://www.officenex.com/item/itemView.do?itemId=N1330700,새 상품,25200 KRW,21600 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/N1330700/3.jpg,,,,
1522400,폼텍 라벨50매 LH-3629(정부문서화일용),,https://www.officenex.com/item/itemView.do?itemId=N1522400,새 상품,11000 KRW,8800 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/N1522400/3.jpg,,,,
3634210,피디메모 (K32절/블랙/100x153mm/8321),,https://www.officenex.com/item/itemView.do?itemId=272002060610,새 상품,4400 KRW,3500 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/N36342A0/3.jpg,,,,
1002440,노트패드(A5/노랑/1팩=3권/Office & Factory),,https://www.officenex.com/item/itemView.do?itemId=27200005811554,새 상품,4000 KRW,3000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/27200005811554/3.jpg,,,,
N1358400,"오피스라벨 24칸100매 V3340(우편발송용, 64x33.85mm)",,https://www.officenex.com/item/itemView.do?itemId=N1358400,새 상품,17500 KRW,14000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/N1358400/3.jpg,,,,
3629020,더블에이 스프링노트세로스트링(A5 하늘),,https://www.officenex.com/item/itemView.do?itemId=N36290K0,새 상품,5800 KRW,4600 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/N36290K0/3.jpg,,,,
1003800,소프트컬러노트(SP/색상랜덤/아이비스),,https://www.officenex.com/item/itemView.do?itemId=27200005811684,새 상품,8800 KRW,7000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/27200005811684/3.jpg,,,,
3633700,더블에이 룰드절취스프링노트 B5(스카이블루),,https://www.officenex.com/item/itemView.do?itemId=N3633700,새 상품,6000 KRW,4800 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/3633700/3.jpg,,,,
5340610,PP탁상용위클리플래너(240x90mm/색상랜덤/아이비스),,https://www.officenex.com/item/itemView.do?itemId=27200005814416,새 상품,2500 KRW,2500 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/27200005814416/3.jpg,,,,
1300402,"한국제지 밀크 복사용지A3(75g, 250매x5권)",,https://www.officenex.com/item/itemView.do?itemId=N1300402,새 상품,29000 KRW,23000 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/N1300402/3.jpg,,,,
5340620,PP탁상용먼슬리플래너(235x170mm/색상랜덤/아이비스),,https://www.officenex.com/item/itemView.do?itemId=27200005814417,새 상품,3500 KRW,3500 KRW,재고 있음,https://fs.arumnet.com/image/N2720OFNEX//item/27200005814417/3.jpg,,,,
